일시,요일,공휴일여부,조중석,1,2,3,4,5,6,7,8,9,잔반량
20110322,화요일,,3,엔요,깍두기,함박스테이크,고구마맛탕,유부된장국,야채비빔밥,,,,2
20110323,수요일,,1,초코머핀,오렌지,배추김치,쌈장,친환경모듬쌈,삼겹살버섯볶음,홍합무국,쌀밥,,2
20110328,월요일,,1,호두과자,배추김치,너비아니버섯조림,갑오징어야채무침,건새우시금치국,쌀밥,요구르트,,,3
20110328,월요일,,2,바이오거트,고구마케익,바나나(손),깍두기,잔치국수,,,,,1
20110328,월요일,,3,배추김치,청포묵김가루무침,조기구이/양념장,콩나물무침,경단미역국,현미찹쌀밥,,,,2
20110329,화요일,,1,달래된장국,키위,김구이(완제),배추김치,비엔나야채볶음,애호박전/양념간장,달래된장국,쌀밥,쁘띠젤,2
20110329,화요일,,2,쥐취채무침,총각김치,표고돼지갈비찜,김가루계란말이,클로렐라쌀밥,맑은콩나물국,,,,2
20110329,화요일,,3,낙지두부국,리쪼,배추김치,검은깨올방개묵,겨울초겉절이,고등어무조림,쌀밥,,,3
20110330,수요일,,1,초코우유,사과,석박지,해물완자전,참치김치볶음,북어계란국,쌀밥,,,2
20110330,수요일,,2,검은콩우유,오렌지,단호박전,배추김치,맑은조개살탕국,비빔밥,,,,2
20110330,수요일,,3,상추겉절이,두부구이/양념장,왕찐만두/양념장,상추겉절이,배추김치,닭감자탕,옥수수밥,,,2
20110331,목요일,,1,꼬지어묵국,닭감자볶음,아몬드후레이크/우유,깍두기,시금치나물,꼬지어묵국,흑미찹쌀밥,,,2
20110331,목요일,,2,애느타리버섯볶음,배추김치,참나물미나리무침,오징어떡볶이,미더덕된장국,쌀밥,,,,3
20110331,목요일,,3,딸기,우유,깍두기,브로컬리볶음밥,수제새우버거,,,,,1
20110401,금요일,,1,쌀밥,애호박된장찌개,비엔나야채볶음,오징어젓갈,배추김치,감자채볶음,바나나(손),,,2
20110401,금요일,,2,송편(인 개),비빔밥(취나물),문어두부국,계란후라이,배추김치,방울토마토,문어두부국,,,3
20110401,금요일,,3,현미찹쌀밥,쑥국,오이무침(무색),돈육김치볶음,미역줄기볶음,딸기우유,깍두기,,,3
20110402,토요일,,1,쌀밥,단호박수제비국,닭야채볶음(떡),시금치나물,배추김치,사과,딸기도넛,,,3
20110402,토요일,,2,쌀밥,경단미역국,연근조림,겨울초겉절이,오리불고기,배추김치,,,,2
20110402,토요일,,3,삼겹살김치볶음밥,냉이된장국,과일샐러드,배추김치,엔요,슈슈케익,,,,2
20110404,월요일,,1,검정쌀밥구암,달래된장국,달래된장국,요플레,취나물된장무침,파프리카해물완자전,총각김치,금귤,,3
20110404,월요일,,2,기장밥구암,근대된장국,돼지수육,상추겉절이,실곤약무침,배추김치,,,,2
20110404,월요일,,3,옥수수밥,조랭이떡국,톳두부무침,죽순버섯볶음,새우까스/케첩,깍두기,오렌지,,,3
20110405,화요일,,1,쌀밥,북어국,계란찜,브로컬리/초고추장,닭감자볶음,배추김치,딸기,,,3
20110405,화요일,,2,흑미찹쌀밥,참치김치찌개,숙주나물,만두탕수,깍두기,순대,,,,2
20110405,화요일,,3,꽁보리밥,꼬지어묵국,미나리나물,도토리묵,오리불고기,깍두기,유기농포도쥬스,,,2
20110406,수요일,,1,현미찹쌀밥,버섯전골,시금치나물,닭봉떡조림,총각김치,절편,엔요,,,3
20110406,수요일,,2,쌀밥,맑은콩나물국,고등어김치조림,두부구이/양념장,오이무침(무색),배추김치,방울토마토,,,3
20110406,수요일,,3,우유,날치알김치볶음밥,감자샐러드샌드위치,유부된장국,유부된장국,배추김치,,,,3
20110407,목요일,,1,쌀밥,쇠고기떡국(냉면기),콩나물맛살냉채,총각김치,크로와상(청정원)/잼,바나나(손),,,,2
20110407,목요일,,2,카레라이스,부추달걀국,닭꼬지,배추김치,귤,,,,,2
20110407,목요일,,3,쌀밥,북어계란국,연두부/양념장,시금치나물,돈육김치볶음,깍두기,귤,,,3
20110408,금요일,,1,쌀밥,오징어두부국,닭다리알감자조림,참치김치볶음,깍두기,아몬드후레이크/우유,,,,3
20110408,금요일,,2,자장면,다시마미소국,단무지,웨지감자구이/케첩,배추김치,,,,,2
20110411,월요일,,1,현미찹쌀밥,연두부/양념장,총각김치,깐쇼새우/칠리소스,바나나(손),초코우유,어묵김치찌개,,,2
20110411,월요일,,2,잔치국수,사과,깍두기,퓨어(저지방),치즈케익,,,,,2
20110411,월요일,,3,쌀밥,꽃게탕,명태통살까스/사우전아일랜드,시금치나물,배추김치,오렌지,군고구마,,,2
20110412,화요일,,1,쌀밥,방아멸치시락국,새송이버섯구이,참치김치볶음,깍두기,함박스테이크,함박스테이크소스,,,2
20110412,화요일,,2,현미찹쌀밥,쑥국,표고돼지갈비찜,냉이초무침,배추김치,아삭이고추/쌈장,,,,3
20110412,화요일,,3,쌀밥,애호박된장찌개,모듬잡채,계란장조림,콩나물무침(흰색),배추김치,,,,3
20110413,수요일,,1,쌀밥,달래된장국,,비엔나야채볶음,애호박전/양념간장,배추김치,쁘띠젤,김구이(완제),,3
20110413,수요일,,2,흑미찹쌀밥,멸치김치찌개,알감자조림,깍두기,방울토마토,계란떡볶이,김말이튀김,,,2
20110413,수요일,,3,쌀밥,미더덕된장국,양배추,다시마쌈,배추김치,갈치구이/양념장,소시지어묵케첩조림,,,3
20110414,목요일,,1,오곡밥,해물된장국,명태전(완제),파인애플,배추김치,팽이버섯볶음,미니메이플피칸파이,,,3
20110414,목요일,,2,쌀밥,맑은콩나물국,,두부구이,참나물,닭다리구이,깍두기,,,3
20110414,목요일,,3,참치야채비빔밥,식빵피자토스트,,방아멸치시락국,배추김치,바나나(손),,,,3
20110415,금요일,,1,현미찹쌀밥,조갯살미역국,새송이불고기,오이무침(무색),상추/쌈장,배추김치,모닝빵/잼,,,2
20110415,금요일,,2,쌀밥,순두부찌개,고등어자반구이,김치전,깍두기,양배추,다시마쌈,바나나(손),,3
20110415,금요일,,3,돈육콩나물국밥(냉면기),부추생채,깍두기,계란빵,방울토마토,,,,,2
20110416,토요일,,1,쌀밥,조랭이떡국,두루치기,시금치나물,배추김치,우유,방울토마토,,,2
20110416,토요일,,2,오므라이스,함박스테이크소스,유부된장국,배추김치,파인애플,인절미,멸치볶음,,,2
20110416,토요일,,3,쌀밥,꽃게탕,라볶이,감자샐러드,모닝빵/잼,총각김치,오렌지,,,2
20110418,월요일,,1,쌀밥,쑥갓어묵국,삶은계란,바나나(손),황태갈비산적,깍두기,애호박나물,,,3
20110418,월요일,,2,현미찹쌀밥,쇠고기미역국,궁중왕만두,콩나물무침(흰색),배추김치,갈치무조림,,,,3
20110418,월요일,,3,보리찹쌀밥,시레기된장국,오리불고기,양배추,다시마쌈,실곤약무침,총각김치,무지개떡,,3
20110419,화요일,,1,현미찹쌀밥,쑥갓어묵국,시금치나물,닭감자볶음,깍두기,아몬드후레이크/우유,,,,3
20110419,화요일,,2,클로렐라쌀밥,조랭이떡국,안동찜닭,도토리묵무침,배추김치,상추/쌈장,금귤,,,2
20110419,화요일,,3,뿌리채소밥,우동,깍두기,바나나(손),초코머핀,,,,,2
20110420,수요일,,1,햄우엉야채볶음밥,계란파국,파크리카버섯채볶음,깍두기,방울토마토,크로와상(청정원)/잼,,,,3
20110420,수요일,,2,차조밥,콩비지찌개,코다리강정/두반장,배추김치,사과,감자채볶음,시금치나물,,,2
20110420,수요일,,3,쌀밥,애호박된장찌개,닭꼬지,멸치볶음,참치김치볶음,깍두기,,,,3
20110421,목요일,,1,쌀밥,경단미역국,삼색소시지통구이/케첩,도토리묵무침,배추김치,절편(개),,,,2
20110421,목요일,,2,흑미찹쌀밥,등뼈감자탕,버섯군만두(개),마늘쫑어묵볶음,배추김치,애호박나물,,,,3
20110421,목요일,,3,쌀밥,근대된장국,돼지수육,상추/쌈장,양파와사비절임,배추김치,무말랭이무침,,,2
20110422,금요일,,1,쌀밥,크로와상,김구이(완제),어묵볶음,배추김치,우유,햄구이,양상치, 치즈,2
20110422,금요일,,2,날치알김치볶음밥,계란파국,깍두기,우유,치킨텐더야채크레페,바나나(손),,,,3
20110425,월요일,,1,쌀밥,치즈케익,시레기된장국,돈나물무침,돈육김치볶음,총각김치,방울토마토,,,2
20110425,월요일,,2,과일샐러드,단호박카레라이스,계란파국,배추김치,야채어묵조림,돌스위티오파인쥬스,,,,2
20110425,월요일,,3,쌀밥,조갯살된장국,모듬잡채,계란장조림,콩나물무침(흰색),배추김치,,,,3
20110426,화요일,,1,차조밥,동태국,너비아니야채조림,미역줄기볶음,배추김치,사과,팥송편,,,3
20110426,화요일,,2,현미찹쌀밥,맑은콩나물국,돈육떡볶음,느타리피망볶음,배추김치,시금치나물,,,,3
20110426,화요일,,3,굴소스해물볶음밥,계란파국,깍두기,깨찰빵,엔요,바나나(손),,,,2
20110427,수요일,,1,쌀밥,해물된장국,닭다리구이,도라지오이무침,배추김치,오렌지,,,,2
20110427,수요일,,2,돈육콩나물국밥(냉면기),부추생채,배추김치,바나나(손),단호박전,,,,,3
20110427,수요일,,3,옥수수밥,애호박된장찌개,갈치무조림,만두탕수,가지나물,총각김치,,,,2
20110428,목요일,,1,영양밥,꽃게탕,스팸야채볶음,깻잎지(완제),친환경모듬쌈,파인애플,우유,,,2
20110428,목요일,,2,자장라이스,유부된장국,깍두기,단무지,인절미,바나나(손),,,,2
20110428,목요일,,3,삼색나물사리,배추김치,현미찹쌀밥,참치김치찌개,치즈등심돈까스/데리소스,군고구마,우유,,,2
20110429,금요일,,1,쌀밥,물만두국,오곡찐빵,찐두부/김치볶음,김구이(완제),깍두기,엔요,,,2
20110429,금요일,,2,쌀밥,낙지두부국,고등어무조림,겨울초겉절이,검은깨올방개묵,배추김치,,,,3
20110429,금요일,,3,쌀밥,애호박된장찌개,표고돼지갈비찜,상추겉절이,멸치볶음,배추김치,,,,3
20110430,토요일,,1,차조밥,곰탕,삼치구이,김구이(완제),깍두기,우유,,,,2
20110430,토요일,,2,조기구이/양념장,알감자조림,시금치나물,깍두기,현미찹쌀밥,멸치김치찌개,,,,3
20110430,토요일,,3,닭갈비야채볶음밥,유부된장국,송편(인 개),깍두기,오렌지,,,,,2
20110502,월요일,,1,쌀밥,북어계란국,연두부/양념장,시금치나물,돈육김치볶음,깍두기,귤,,,3
20110502,월요일,,2,삼겹살김치볶음밥,냉이된장국,과일샐러드,배추김치,엔요,슈슈케익,,,,2
20110502,월요일,,3,쌀밥,근대된장국,오향장육,상추/쌈장,양파와사비절임,배추김치,오렌지,,,3
20110503,화요일,,1,현미찹쌀밥,단호박수제비국,오징어젓갈,함박스테이크,배추김치,초코우유,방울토마토,함박스테이크소스,,2
20110503,화요일,,2,쌀밥,등뼈감자탕,달래오이생채,김치전,홍게살크레볼/케첩,석박지,,,,3
20110503,화요일,,3,콩나물무침(흰색),쌀밥,동태국,계란떡볶이,김말이튀김,배추김치,멜론,,,3
20110504,수요일,,1,현미찹쌀밥,버섯전골,시금치나물,닭봉떡조림,총각김치,엔요,절편,,,3
20110504,수요일,,2,꽁보리밥,꼬지어묵국,도토리묵,숙주나물,오리불고기,깍두기,,,,3
20110504,수요일,,3,쌀밥,맑은콩나물국,두부구이,참나물,닭다리구이,깍두기,요플레,,,3
20110505,목요일,,1,현미찹쌀밥,맑은콩나물국,멸치아몬드볶음,낙지볶음,어린새송이버섯볶음,배추김치,,,,3
20110505,목요일,,2,검정콩밥,대구매운탕,알감자조림,무생채,미트볼떡꼬지강정,배추김치,,,,3
20110505,목요일,,3,쌀밥,영계백숙마리,속배추겉절이,깍두기,귤,,,,,2
20110506,금요일,,1,쌀밥,냉이된장국,양념꼬막,검은깨올방개묵,배추김치,도마슈노플레인,바나나(손),,,2
20110506,금요일,,2,옥수수밥,부대찌개,비름나물,어묵송이버섯볶음,갈치구이/양념장,깍두기,,,,3
20110506,금요일,,3,갈비산적아채볶음밥,오곡찐빵,계란파국,깍두기,요구르트(이오),토마토,요구르트드레싱,,,2
20110507,토요일,,1,쌀밥,물만두국,베이컨감자채볶음,칼슘깻잎육전,총각김치,한방떡,,,,2
20110507,토요일,,2,오므라이스,유부된장국,케이준치킨샐러드,총각김치,오렌지,,,,,2
20110511,수요일,,1,쌀밥,크로와상,김구이(완제),어묵볶음,배추김치,우유,햄구이,양상치, 치즈,3
20110511,수요일,,2,잔치국수,치즈케익,깍두기,사과,퓨어(저지방),,,,,2
20110511,수요일,,3,현미찹쌀밥,경단미역국,청포묵김가루무침,콩나물무침,조기구이/양념장,배추김치,참외,,,3
20110512,목요일,,1,흑미찹쌀밥,딸기도넛,근대된장국,깐쇼새우/칠리소스,배추김치,사과,양배추,다시마쌈,,2
20110512,목요일,,2,쌀밥,사리곰탕(기숙사),오이부추생채,깍두기,삼치구이,요플레,,,,3
20110512,목요일,,3,클로렐라쌀밥,맑은콩나물국,표고돼지갈비찜,쥐취채무침,김가루계란말이,총각김치,,,,3
20110513,금요일,,1,쌀밥,북어계란국,참치김치볶음,석박지,사과,초코우유,비엔나야채볶음,,,3
20110513,금요일,,2,비빔밥,단호박전,배추김치,오렌지,검은콩우유,유부된장국,,,,2
20110513,금요일,,3,옥수수밥,닭감자탕,두부구이/양념장,상추겉절이,상추겉절이,왕찐만두/양념장,배추김치,,,3
20110514,토요일,,1,검정쌀밥구암,애호박된장찌개,요플레,취나물된장무침,파프리카해물완자전,총각김치,금귤,,,3
20110514,토요일,,2,카레라이스,부추달걀국,닭꼬지,배추김치,방울토마토,바이오거트,,,,2
20110514,토요일,,3,쌀밥,고등어무조림,겨울초겉절이,검은깨올방개묵,리쪼,돈육김치찌개,깍두기,,,3
20110516,월요일,,1,오곡밥,황태맑은국,오이소박이(완제),김가루계란말이,오렌지,초코머핀,우유,,,3
20110516,월요일,,2,보리찹쌀밥,미더덕된장국,순대,오징어젓갈,두루치기,배추김치,사과,,,2
20110516,월요일,,3,현미찹쌀밥,조랭이떡국,돈육메추리알장조림,상추겉절이,건새우마늘쫑볶음,배추김치,파인애플,,,3
20110517,화요일,,1,흑미찹쌀밥,사리곰탕(기숙사),연두부/양념장,배추김치,토마토,애호박전/양념간장,,,,2
20110517,화요일,,2,참치야채비빔밥,맑은콩나물국,딸기도넛,깍두기,바나나(손),요구르트,,,,2
20110517,화요일,,3,검정콩밥,부대찌개,깐풍기(닭),연근조림,시금치나물,배추김치,,,,2
20110518,수요일,,1,검정콩밥,콩비지찌개,홍게실까스/머스터드,멸치볶음,총각김치,썬업,사과,,,3
20110518,수요일,,2,쌀밥,애호박된장찌개,검은깨찐두부/돈육김치볶음,배추김치,상추겉절이,,,,,3
20110518,수요일,,3,흑미찹쌀밥,쇠고기미역국,해물파전(오징어만),배추김치,볶음우동,요플레,방울토마토,,,2
20110519,목요일,,1,자장라이스,계란파국,과일샐러드,깍두기,삼색경단,,,,,2
20110519,목요일,,2,현미찹쌀밥,등뼈감자탕,비빔만두,어린새송이버섯볶음,배추김치,콩나물무침(흰색),,,,2
20110519,목요일,,3,주먹밥(개),김치말이국수,배추김치,바이오거트,토마토,요플레,,,,2
20110520,금요일,,1,차조밥,문어두부국,닭다리알감자조림,연근땅콩조림,구트,배추김치,방울토마토,,,3
20110520,금요일,,2,굴소스해물볶음밥,유부된장국,케이준치킨샐러드,깍두기,요구르트,파인애플,,,,2
20110520,금요일,,3,쌀밥,청국장찌개,돼지수육,양파와사비절임,상추/쌈장,배추김치,,,,2
20110521,토요일,,1,영양밥,방아멸치시락국,베이컨감자채볶음,배추김치,숙주나물,미니메이플피칸파이,엔요,,,3
20110521,토요일,,2,쌀밥,경단미역국,연근조림,오리불고기,상추겉절이,배추김치,요플레,,,2
20110521,토요일,,3,쌀밥,애호박된장찌개,계란찜,갑오징어야채무침,취나물된장무침,배추김치,식빵피자토스트,,,3
20110523,월요일,,1,쌀밥,시레기된장국,브로컬리/초고추장,닭감자볶음,배추김치,엔요,스크램블드에그,,,3
20110523,월요일,,2,꽁보리밥,쑥갓어묵국,부추생채,도토리묵,오리훈제,배추김치,무쌈,,,2
20110523,월요일,,3,우동,뿌리채소밥,단무지,수박,왕새우튀김,,,,,2
20110524,화요일,,1,흑미찹쌀밥,시레기된장국,시금치나물,닭야채볶음(떡),깍두기,아몬드후레이크/우유,,,,2
20110524,화요일,,2,쌀밥,미더덕된장국,참나물,오징어떡볶이,애느타리버섯볶음,배추김치,요거트푸딩,,,3
20110524,화요일,,3,깍두기,딸기,우유,브로컬리볶음밥,수제새우버거,,,,,2
20110525,수요일,,1,쌀밥,북어계란국,참치김치볶음,해물완자전,석박지,사과,초코우유,,,3
20110525,수요일,,2,뿌리채소밥,꽃게탕,닭다리구이,오이소박이(완제),숙주나물,총각김치,바나나(손),,,2
20110525,수요일,,3,현미찹쌀밥,모듬잡채,계란장조림,배추김치,건새우마늘쫑볶음,파인애플,조랭이떡국,,,2
20110526,목요일,,1,쌀밥,해물된장국,버섯볶음,감자채볶음,파인애플,미니메이플피칸파이,배추김치,,,3
20110526,목요일,,2,흑미찹쌀밥,깍두기,순대,북어계란국,후르츠탕수육,콩나물무침(흰색),,,,2
20110526,목요일,,3,미트스파게티,배추김치,치즈케익,요구르트,쌀밥,시레기된장국,,,,2
20110527,금요일,,1,쌀밥,물만두국,붉은오이무침,홍게살크레볼/케첩,배추김치,엔요,바나나(손),,,2
20110527,금요일,,2,쌀밥,유부된장국,알감자조림,모듬야채샐러드,치즈등심돈까스/데리소스,배추김치,유기농포도쥬스,,,2
20110530,월요일,,1,쌀밥,애호박전/양념간장,비엔나야채볶음,배추김치,김구이(완제),요플레,팽이된장국,,,3
20110530,월요일,,2,오므라이스,유부된장국,멸치볶음,파인애플,인절미,배추김치,,,,3
20110530,월요일,,3,옥수수밥,시레기된장국,만두탕수,갈치구이/양념장,콩나물무침(흰색),배추김치,우유,,,2
20110531,화요일,,1,쌀밥,쇠고기떡국(냉면기),콩나물맛살냉채,총각김치,크로와상(청정원)/잼,바나나(손),,,,2
20110531,화요일,,2,돈육콩나물국밥(냉면기),오이부추생채,김치전,깍두기,수박,,,,,3
20110531,화요일,,3,닭갈비야채볶음밥,유부된장국,배추김치,팥송편,오렌지,유기농포도쥬스,,,,3
20110601,수요일,,1,쌀밥,애호박된장찌개,오징어젓갈,감자채볶음,비엔나야채볶음,배추김치,우유,,,3
20110601,수요일,,2,고구마파이,쌀밥,북어계란국,후르츠탕수육,콩나물무침(흰색),배추김치,도토리묵무침,,,2
20110601,수요일,,3,자장라이스,다시마미소국,단무지,웨지감자구이/케첩,배추김치,요플레,,,,2
20110602,목요일,,1,쌀밥,북어계란국,연두부/양념장,시금치나물,돈육김치볶음,깍두기,우유,,,3
20110602,목요일,,2,갈비산적아채볶음밥,계란파국,깍두기,토마토,요구르트드레싱,딸기파이,오미자쥬스,,,2
20110602,목요일,,3,쌀밥,애호박된장찌개,고등어김치조림,베이컨감자채볶음,깍두기,오렌지,궁중왕만두,,,2
20110603,금요일,,1,볶음김치/김가루/계란,볶음김치/계란,치즈케익,유부된장국,깍두기,우유,멜론,,,2
20110603,금요일,,2,잡곡밥,김치콩나물국,돈육메추리알장조림,오이생채,애호박나물,배추김치,수박,,,3
20110603,금요일,,3,쌀밥,청국장찌개,삼겹살오븐구이,새송이버섯구이,상추겉절이,배추김치,토마토,요플레,,3
20110604,토요일,,1,오곡밥,황태맑은국,김가루계란말이,우유,초코머핀,오렌지,배추김치,오이생채,,3
20110604,토요일,,2,닭갈비야채볶음밥,유부된장국,깍두기,송편(인 개),수박,이츠웰쥬스(능금,감귤),,,2
20110604,토요일,,3,쌀밥,시레기된장국,명태통살까스/사우전아일랜드,붉은오이무침,연근조림,배추김치,파인애플,,,3
20110606,월요일,,1,현미찹쌀밥,버섯전골,시금치나물,총각김치,닭봉떡조림,사과,초코우유,,,3
20110606,월요일,,2,현미찹쌀밥,조랭이떡국,검은깨찐두부/돈육김치볶음,야채튀김,깍두기,수박,,,,2
20110606,월요일,,3,배추김치,실곤약무침,쌀밥,순두부찌개,치즈등심돈까스/데리소스,콩나물무침(흰색),,,,2
20110607,화요일,,1,옥수수밥,총각김치,참치야채전,새송이버섯구이,방아멸치시락국,우유,베이컨감자채볶음,,,3
20110607,화요일,,2,비빔밥(계절),키위쥬스,오징어두부국,깍두기,계란빵,아이스홍시,,,,2
20110607,화요일,,3,쌀밥,콩비지찌개,무생채,배추김치,돼지갈비떡찜,브로컬리/초고추장,,,,3
20110608,수요일,,1,흑미찹쌀밥,근대된장국,사과,양배추쌈,깐쇼새우/칠리소스,배추김치,우유,감자채볶음,,3
20110608,수요일,,2,잔치국수,주먹밥(개),엔요,깍두기,과일샐러드,,,,,2
20110608,수요일,,3,쌀밥,미소된장국,오이스틱,돈육떡볶음,깍두기,멜론,모듬잡채,,,2
20110609,목요일,,1,현미찹쌀밥,멸치김치찌개,닭다리알감자조림,깻잎지(완제),키위,우유,연근땅콩조림,딸기파이,,3
20110613,월요일,,1,쌀밥,물만두국,삼색소시지볶음(부),스크램블드에그,연근땅콩조림,배추김치,우유,,,3
20110613,월요일,,2,쌀밥,오이냉국,오리불고기,콩나물맛살냉채,참나물,배추김치,리쪼,,,2
20110613,월요일,,3,검정콩밥,두부구이/양념장,모듬잡채,상추겉절이,배추김치,바나나(손),애호박된장찌개,,,3
20110614,화요일,,1,현미찹쌀밥,맑은콩나물국,호두아몬드볶음,낙지볶음,배추김치,우유,오이생채,우리밀딸기잼파이,,3
20110614,화요일,,2,근대된장국,오리훈제야채무침,배추김치,오이생채,쌀밥,감자채볶음,방울토마토,,,2
20110614,화요일,,3,쌀밥,유부된장국,치즈등심돈까스/데리소스,과일샐러드,실곤약무침,배추김치,돌스위티오파인쥬스,,,2
20110615,수요일,,1,쌀밥,크로와상,김구이(완제),어묵볶음,배추김치,우유,햄구이,양상치, 치즈,2
20110615,수요일,,2,낙지야채비빔밥,북어무채국,실곤약무침(마요네즈,과고),배추김치,오렌지,메론샤벳,,,3
20110615,수요일,,3,옥수수밥,닭개장,삼치구이,백김치,오이고추,검은깨올방개묵,딸기파이,,,2
20110616,목요일,,1,사과,우유,배추김치,전복죽/양념장,메추리알장조림,참나물미나리무침,,,,3
20110616,목요일,,2,삼겹살김치볶음밥,팽이된장국,깍두기,미니메이플피칸파이,엔요,수박,,,,3
20110616,목요일,,3,현미찹쌀밥,조랭이떡국,모듬장조림,참치김치볶음,죽순버섯볶음,깍두기,오렌지,,,3
20110617,금요일,,1,밸런스라이스업,시레기된장국,궁중왕만두,가자미김치조림,사과,깍두기,우유,초코머핀,,3
20110617,금요일,,2,클로렐라쌀밥,문어두부국,고추잡채/꽃빵,콩나물무침(흰색),고등어()자반구이,배추김치,방울토마토,,,3
20110617,금요일,,3,멜론,쌀밥,등뼈감자탕,돈육메추리알장조림,상추겉절이,꽈리건새우볶음,배추김치,,,2
20110618,토요일,,1,쌀밥,취나물된장무침,파프리카해물완자전,총각김치,요거트푸딩,우유,버섯전골,블루파이,,3
20110618,토요일,,2,카레라이스,계란파국,우리쌀호두파이,배추김치,엔요,과일샐러드,,,,2
20110618,토요일,,3,쌀밥,돈육김치찌개,겨울초겉절이,도토리묵무침,깍두기,리쪼,불낙볶음,,,3
