쌀밥,맑은콩나물국,고등어김치조림,두부구이/양념장,오이무침(무색),배추김치,방울토마토,,,3
우유,날치알김치볶음밥,감자샐러드샌드위치,유부된장국,유부된장국,배추김치,,,,3
쌀밥,쇠고기떡국(냉면기),콩나물맛살냉채,총각김치,크로와상(청정원)/잼,바나나(손),,,,2
카레라이스,부추달걀국,닭꼬지,배추김치,귤,,,,,2
쌀밥,북어계란국,연두부/양념장,시금치나물,돈육김치볶음,깍두기,귤,,,3
쌀밥,오징어두부국,닭다리알감자조림,참치김치볶음,깍두기,아몬드후레이크/우유,,,,3
자장면,다시마미소국,단무지,웨지감자구이/케첩,배추김치,,,,,2
현미찹쌀밥,연두부/양념장,총각김치,깐쇼새우/칠리소스,바나나(손),초코우유,어묵김치찌개,,,2
잔치국수,사과,깍두기,퓨어(저지방),치즈케익,,,,,2
쌀밥,꽃게탕,명태통살까스/사우전아일랜드,시금치나물,배추김치,오렌지,군고구마,,,2
쌀밥,방아멸치시락국,새송이버섯구이,참치김치볶음,깍두기,함박스테이크,함박스테이크소스,,,2
현미찹쌀밥,쑥국,표고돼지갈비찜,냉이초무침,배추김치,아삭이고추/쌈장,,,,3
쌀밥,애호박된장찌개,모듬잡채,계란장조림,콩나물무침(흰색),배추김치,,,,3
쌀밥,달래된장국,,비엔나야채볶음,애호박전/양념간장,배추김치,쁘띠젤,김구이(완제),,3
흑미찹쌀밥,멸치김치찌개,알감자조림,깍두기,방울토마토,계란떡볶이,김말이튀김,,,2
쌀밥,미더덕된장국,양배추,다시마쌈,배추김치,갈치구이/양념장,소시지어묵케첩조림,,,3
오곡밥,해물된장국,명태전(완제),파인애플,배추김치,팽이버섯볶음,미니메이플피칸파이,,,3
쌀밥,맑은콩나물국,,두부구이,참나물,닭다리구이,깍두기,,,3
참치야채비빔밥,식빵피자토스트,,방아멸치시락국,배추김치,바나나(손),,,,3
현미찹쌀밥,조갯살미역국,새송이불고기,오이무침(무색),상추/쌈장,배추김치,모닝빵/잼,,,2
쌀밥,순두부찌개,고등어자반구이,김치전,깍두기,양배추,다시마쌈,바나나(손),,3
돈육콩나물국밥(냉면기),부추생채,깍두기,계란빵,방울토마토,,,,,2
쌀밥,조랭이떡국,두루치기,시금치나물,배추김치,우유,방울토마토,,,2
오므라이스,함박스테이크소스,유부된장국,배추김치,파인애플,인절미,멸치볶음,,,2
쌀밥,꽃게탕,라볶이,감자샐러드,모닝빵/잼,총각김치,오렌지,,,2
