쌀밥,,단호박수제비국,,닭야채볶음,시금치나물,배추김치,,,딸기도넛,사과,3
쌀밥,,경단미역국,,오리불고기,겨울초겉절이,배추김치,,,,연근조림,2
삼겹살김치볶음밥,,냉이된장국,슈슈케이크,엔요,,배추김치,과일샐러드,,,,2
검정쌀밥구암,,달래된장국,,,취나물된장무침,총각김치,요플레,귤,파프리카해물완자전,달래된장국,3
기장밥구암,,근대된장국,,돼지수육,실곤약무침,배추김치,,,,상추겉절이,2
옥수수밥,,조랭이떡국,,,톳두부무침,깍두기,새우까스/케첩,오렌지,,죽순버섯볶음,3
쌀밥,,북어국,,닭감자볶음,브로컬리/초고추장,배추김치,,딸기,,달걀찜,3
흑미찹쌀밥,,참치김치찌개,,,숙주나물,깍두기,만두탕수,,순대,,2
꽁보리밥,,꼬지어묵국,,오리불고기,미나리나물,깍두기,유기농포도주스,도토리묵,,,2
현미찹쌀밥,,버섯전골,,닭봉떡조림,시금치나물,총각김치,,엔요,절편,,3
쌀밥,,맑은콩나물국,,고등어김치조림,오이무침,배추김치,,,방울토마토,두부구이/양념장,3
날치알김치볶음밥,우유,유부된장국,감자샐러드샌드위치,,,배추김치,유부된장국,,,,3
쌀밥,,쇠고기떡국,,,콩나물맛살냉채,총각김치,,,바나나,크로와상/잼,2
카레라이스,,부추달걀국,,닭꼬지,,배추김치,,,,귤,2
쌀밥,,북어달걀국,,,시금치나물,돈육김치볶음,,귤,깍두기,연두부/양념장,3
쌀밥,,오징어두부국,,닭다리알감자조림,,참치김치볶음,아몬드후레이크/우유,깍두기,,,3
,자장면,다시마미소국,,,,배추김치,웨지감자구이/케첩,,,단무지,2
현미찹쌀밥,,어묵김치찌개,초코우유,,,총각김치,연두부/양념장,바나나,깐쇼새우/칠리소스,,2
,잔치국수,,치즈케이크,퓨어,,깍두기,사과,,,,2
쌀밥,,,,,시금치나물,배추김치,군고구마,오렌지,명태통살까스/사우전아일랜드,꽃게탕,2
쌀밥,,방아멸치시락국,,,,참치김치볶음,새송이버섯구이,함박스테이크,깍두기,함박스테이크소스,2
현미찹쌀밥,,쑥국,,표고돼지갈비찜,냉이초무침,배추김치,,,,아삭이고추/쌈장,3
쌀밥,,애호박된장찌개,,,콩나물무침,배추김치,,,달걀장조림,모듬잡채,3
쌀밥,,달래된장국,,,김구이,배추김치,애호박전/양념간장,쁘띠젤,비엔나야채볶음,,3
흑미찹쌀밥,,멸치김치찌개,,,,깍두기,알감자조림,달걀떡볶이,방울토마토,김말이튀김,2
쌀밥,,미더덕된장국,,,,배추김치,다시마쌈,갈치구이/양념장,소시지어묵케첩조림,양배추,3
오곡밥,,해물된장국,,,,배추김치,파인애플,팽이버섯볶음,명태전,미니메이플피칸파이,3
쌀밥,,맑은콩나물국,,닭다리구이,참나물,깍두기,,,두부구이,,3
